Name|Neighborhood|Address|Date of Search
Kings Kannabis|Ocean Beach|POINT LOMA, CA|07-11-2017
Anodized Group|Ocean Beach|SAN DIEGO, CA|07-11-2017
Cali Coastal Collective - Ocean Beach|Ocean Beach|SAN DIEGO, CA|07-11-2017
Budzilla - Ocean Beach|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Limitless Care Collective|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Bud Club - Ocean Beach|Ocean Beach|SAN DIEGO, CA|07-11-2017
COLLECTIVE SOUL|Ocean Beach|SAN DIEGO, CA|07-11-2017
Fresh SD|Ocean Beach|SAN DIEGO, CA|07-11-2017
Budz Delivery|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Budee|Ocean Beach|HAYWARD, CA|07-11-2017
Limitless Care Collective|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Stoney Overnight Delivery - Ocean Beach|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Alpha Medic, Inc. - Ocean Beach|Ocean Beach|SAN DIEGO, CA|07-11-2017
True Meds Delivery Incorporated|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Breath of Life|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Flash Buds|Ocean Beach|SAN DIEGO, CA|07-11-2017
Left Coast Collective - Ocean Beach|Ocean Beach|SAN DIEGO, CA|07-11-2017
THC The House Collective|Ocean Beach|SAN DIEGO, CA|07-11-2017
Pakalolo Sunshine|Ocean Beach|SAN DIEGO, CALIFORNIA|07-11-2017
Luckys Health Group Delivery|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Always Greenest- Superior Quality|Ocean Beach|SAN DIEGO, CA|07-11-2017
Tree of Life|Ocean Beach|SAN DIEGO, CA|07-11-2017
TigerLily Bakes (2)|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Special Delivery - Ocean Beach|Ocean Beach|OCEAN BEACH, CA|07-11-2017
WEEDRIVE|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Exclusive Dank Collective|Ocean Beach|SAN DIEGO, CA|07-11-2017
Dank Remedies (OPEN LATE)|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Fast and Friendly - (Open Late) - Ocean Beach|Ocean Beach|SAN DIEGO, CA|07-11-2017
APC - Alternative Patient Care #4|Ocean Beach|SAN DIEGO, CALIFORNIA|07-11-2017
World Wide Weed|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Weedfellas|Ocean Beach|OCEAN BEACH, CA|07-11-2017
SoCal AMC|Ocean Beach|SAN DIEGO, CA|07-11-2017
Pacific Greens|Ocean Beach|POINT LOMA, CA|07-11-2017
A Friend Indeed|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Fast Grass|Ocean Beach|SAN DIEGO, CA|07-11-2017
The Chronic Meds|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Releaf Delivery|Ocean Beach|OCEAN BEACH, CA|07-11-2017
The Herbal Express|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Affordable Ounces & More|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Kings Kannabis|Ocean Beach|POINT LOMA, CA|07-11-2017
Anodized Group|Ocean Beach|SAN DIEGO, CA|07-11-2017
Cali Coastal Collective - Ocean Beach|Ocean Beach|SAN DIEGO, CA|07-11-2017
Budzilla - Ocean Beach|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Limitless Care Collective|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Bud Club - Ocean Beach|Ocean Beach|SAN DIEGO, CA|07-11-2017
COLLECTIVE SOUL|Ocean Beach|SAN DIEGO, CA|07-11-2017
Fresh SD|Ocean Beach|SAN DIEGO, CA|07-11-2017
Budz Delivery|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Budee|Ocean Beach|HAYWARD, CA|07-11-2017
Limitless Care Collective|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Stoney Overnight Delivery - Ocean Beach|Ocean Beach|OCEAN BEACH, CA|07-11-2017
Alpha Medic, Inc. - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
M Delivers - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
Left Coast Collective - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
True Meds Delivery Incorporated|Pacific Beach|SAN DIEGO, CA|07-11-2017
Pacific Greens|Pacific Beach|SAN DIEGO, CA|07-11-2017
Beach Meds|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Pakalolo Sunshine|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
OG2GO|Pacific Beach|SAN DIEGO, CA|07-11-2017
A+ Deliveries|Pacific Beach|SAN DIEGO, CA|07-11-2017
Triple Crown Delivery|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Grand Ave Wellness|Pacific Beach|SAN DIEGO, CA|07-11-2017
Special Delivery - Pacific Beach|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Luckys Health Group Delivery|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Global Greens|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
WEEDRIVE|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Nor-Cal Greens|Pacific Beach|SAN DIEGO, CA|07-11-2017
So Cal Holistic Health|Pacific Beach|SAN DIEGO, CA|07-11-2017
Cali Kush House - Pacific Beach|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
TigerLily Bakes (5)|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Exclusive Dank Collective|Pacific Beach|SAN DIEGO, CA|07-11-2017
Budzilla|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
The Nug Company|Pacific Beach|SAN DIEGO, CA|07-11-2017
Tree of Life|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Grand Ave Wellness|Pacific Beach|SAN DIEGO, CA|07-11-2017
Cali Cats Collective|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Flash Buds|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Budz Delivery|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Releaf Delivery|Pacific Beach|LA JOLLA, CA|07-11-2017
Cali Coastal Collective - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
Budz Delivery|Pacific Beach|SAN DIEGO, CA|07-11-2017
New Age Botanicals - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
World Wide Weed - Pacific Beach|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Chili Dog Deliveries|Pacific Beach|SAN DIEGO, CA|07-11-2017
Extraction - San Diego|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Dabs on Dan|Pacific Beach|SAN DIEGO, CA|07-11-2017
Modern Medicine|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Anodized Group|Pacific Beach|DELIVERY, CA|07-11-2017
Bud Club - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
SoCal's Finest Flowers|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Fast and Friendly - (Open Late) - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
Fresh SD|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Limitless Care Collective|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Affordable Ounces & More|Pacific Beach|SAN DIEGO, CA|07-11-2017
Budee|Pacific Beach|WALNUT CREEK, CA|07-11-2017
Timely Holistic Care|Pacific Beach|SAN DIEGO, CA|07-11-2017
San Diego Fire|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Limitless Care Collective|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
San Diego Organics|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Left Coast Live - Pacific Beach|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
House of Ounce|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Stoney Overnight Delivery - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
Alpha Medic, Inc. - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
M Delivers - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
Left Coast Collective - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
True Meds Delivery Incorporated|Pacific Beach|SAN DIEGO, CA|07-11-2017
Pacific Greens|Pacific Beach|SAN DIEGO, CA|07-11-2017
Beach Meds|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Pakalolo Sunshine|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
OG2GO|Pacific Beach|SAN DIEGO, CA|07-11-2017
A+ Deliveries|Pacific Beach|SAN DIEGO, CA|07-11-2017
Triple Crown Delivery|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Grand Ave Wellness|Pacific Beach|SAN DIEGO, CA|07-11-2017
Special Delivery - Pacific Beach|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Luckys Health Group Delivery|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Global Greens|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
WEEDRIVE|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Nor-Cal Greens|Pacific Beach|SAN DIEGO, CA|07-11-2017
So Cal Holistic Health|Pacific Beach|SAN DIEGO, CA|07-11-2017
Cali Kush House - Pacific Beach|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
TigerLily Bakes (5)|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Exclusive Dank Collective|Pacific Beach|SAN DIEGO, CA|07-11-2017
Budzilla|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
The Nug Company|Pacific Beach|SAN DIEGO, CA|07-11-2017
Tree of Life|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Grand Ave Wellness|Pacific Beach|SAN DIEGO, CA|07-11-2017
Cali Cats Collective|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Flash Buds|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Budz Delivery|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Releaf Delivery|Pacific Beach|LA JOLLA, CA|07-11-2017
Cali Coastal Collective - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
Budz Delivery|Pacific Beach|SAN DIEGO, CA|07-11-2017
New Age Botanicals - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
World Wide Weed - Pacific Beach|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Chili Dog Deliveries|Pacific Beach|SAN DIEGO, CA|07-11-2017
Extraction - San Diego|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Dabs on Dan|Pacific Beach|SAN DIEGO, CA|07-11-2017
Modern Medicine|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Anodized Group|Pacific Beach|DELIVERY, CA|07-11-2017
Bud Club - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
SoCal's Finest Flowers|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Fast and Friendly - (Open Late) - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
Fresh SD|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Limitless Care Collective|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Affordable Ounces & More|Pacific Beach|SAN DIEGO, CA|07-11-2017
Budee|Pacific Beach|WALNUT CREEK, CA|07-11-2017
Timely Holistic Care|Pacific Beach|SAN DIEGO, CA|07-11-2017
San Diego Fire|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Limitless Care Collective|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
San Diego Organics|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Left Coast Live - Pacific Beach|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
House of Ounce|Pacific Beach|PACIFIC BEACH, CA|07-11-2017
Stoney Overnight Delivery - Pacific Beach|Pacific Beach|SAN DIEGO, CA|07-11-2017
M Delivers - El Cajon|El Cajon|LAKESIDE/SANTEE/EL CAJON, CA|07-11-2017
CHRON DON I|El Cajon|SANTEE, CA|07-11-2017
PLATINUM RX EXPRESS|El Cajon|EL CAJON, CA|07-11-2017
Green Cross Hydro|El Cajon|EL CAJON, CA|07-11-2017
Green Cross Hydro - Santee|El Cajon|SANTEE, CA|07-11-2017
My Bud Friend|El Cajon|EL CAJON, CA|07-11-2017
Kings Kannabis|El Cajon|ALPINE, CA|07-11-2017
High Level Health|El Cajon|EL CAJON, CA|07-11-2017
House Of Dank|El Cajon|EL CAJON, CA|07-11-2017
Weedfellas|El Cajon|EL CAJON, CA|07-11-2017
Fast and Friendly (Open Late) - El Cajon|El Cajon|EL CAJON, CA|07-11-2017
Paradise Greens Collective|El Cajon|EL CAJON, CA|07-11-2017
Luckys Health Group Delivery|El Cajon|EL CAJON, CA|07-11-2017
Mission Greens|El Cajon|SANTEE, CA|07-11-2017
My Bud Friend|El Cajon|ALPINE, CA|07-11-2017
A Friend Indeed|El Cajon|EL CAJON, CA|07-11-2017
Green Smilez|El Cajon|EL CAJON, CA|07-11-2017
Gold Leaf Meds Delivery|El Cajon|SAN DIEGO, CA|07-11-2017
Alpha Medic, Inc - El Cajon|El Cajon|EL CAJON, CA|07-11-2017
Triple Crown Delivery|El Cajon|EL CAJON, CA|07-11-2017
Royal Connect Collective|El Cajon|EL CAJON, CALIFORNIA (CA)|07-11-2017
M Delivers - El Cajon|El Cajon|LAKESIDE/SANTEE/EL CAJON, CA|07-11-2017
Wow Bud|El Cajon|LAKESIDE, CA|07-11-2017
CHRON DON III|El Cajon|EL CAJON, CA|07-11-2017
Budzilla|El Cajon|SAN DIEGO, CA|07-11-2017
Healthcare Alternatives|El Cajon|SAN DIEGO, CA|07-11-2017
Greentree Express Collective|El Cajon|LAKESIDE, CA|07-11-2017
Cali Reefer Co. - San Diego East|El Cajon|EL CAJON, CA|07-11-2017
High Level Health II|El Cajon|ALPINE, CA|07-11-2017
M Delivers Express - Descanso|El Cajon|DESCANSO, CA|07-11-2017
Stoney Overnight Delivery - El Cajon|El Cajon|EL CAJON, CA|07-11-2017
M Delivers Express - Alpine|El Cajon|ALPINE, CA|07-11-2017
Freedom Medical Association|El Cajon|SANTEE, CA|07-11-2017
M Delivers - El Cajon|El Cajon|LAKESIDE/SANTEE/EL CAJON, CA|07-11-2017
CHRON DON I|El Cajon|SANTEE, CA|07-11-2017
PLATINUM RX EXPRESS|El Cajon|EL CAJON, CA|07-11-2017
Green Cross Hydro|El Cajon|EL CAJON, CA|07-11-2017
Green Cross Hydro - Santee|El Cajon|SANTEE, CA|07-11-2017
My Bud Friend|El Cajon|EL CAJON, CA|07-11-2017
Kings Kannabis|El Cajon|ALPINE, CA|07-11-2017
High Level Health|El Cajon|EL CAJON, CA|07-11-2017
House Of Dank|El Cajon|EL CAJON, CA|07-11-2017
Weedfellas|El Cajon|EL CAJON, CA|07-11-2017
Fast and Friendly (Open Late) - El Cajon|El Cajon|EL CAJON, CA|07-11-2017
Paradise Greens Collective|El Cajon|EL CAJON, CA|07-11-2017
Luckys Health Group Delivery|El Cajon|EL CAJON, CA|07-11-2017
Mission Greens|El Cajon|SANTEE, CA|07-11-2017
My Bud Friend|El Cajon|ALPINE, CA|07-11-2017
A Friend Indeed|El Cajon|EL CAJON, CA|07-11-2017
Green Smilez|El Cajon|EL CAJON, CA|07-11-2017
Gold Leaf Meds Delivery|El Cajon|SAN DIEGO, CA|07-11-2017
Alpha Medic, Inc - El Cajon|El Cajon|EL CAJON, CA|07-11-2017
Triple Crown Delivery|El Cajon|EL CAJON, CA|07-11-2017
Royal Connect Collective|El Cajon|EL CAJON, CALIFORNIA (CA)|07-11-2017
M Delivers - El Cajon|El Cajon|LAKESIDE/SANTEE/EL CAJON, CA|07-11-2017
Wow Bud|El Cajon|LAKESIDE, CA|07-11-2017
CHRON DON III|El Cajon|EL CAJON, CA|07-11-2017
Budzilla|El Cajon|SAN DIEGO, CA|07-11-2017
Healthcare Alternatives|El Cajon|SAN DIEGO, CA|07-11-2017
Greentree Express Collective|El Cajon|LAKESIDE, CA|07-11-2017
Cali Reefer Co. - San Diego East|El Cajon|EL CAJON, CA|07-11-2017
High Level Health II|El Cajon|ALPINE, CA|07-11-2017
M Delivers Express - Descanso|El Cajon|DESCANSO, CA|07-11-2017
Stoney Overnight Delivery - El Cajon|El Cajon|EL CAJON, CA|07-11-2017
M Delivers Express - Alpine|El Cajon|ALPINE, CA|07-11-2017
Freedom Medical Association|El Cajon|SANTEE, CA|07-11-2017
M Delivers - Poway/Mira Mesa|Poway/Mira Mesa|NORTH SAN DIEGO, CA|07-11-2017
San Diego Organics|Poway/Mira Mesa|SAN DIEGO, CALIFORNIA|07-11-2017
Alpha Medic, Inc. - Poway/Mira Mesa|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
7 by 7|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Luckys Health Group Delivery|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
APC - Alternative Patient Care|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Green Car Delivery|Poway/Mira Mesa|POWAY, CA|07-11-2017
A+ Deliveries|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Dank Remedies (OPEN LATE)|Poway/Mira Mesa|POWAY, CA|07-11-2017
Balboa Ave Cooperative|Poway/Mira Mesa|POWAY, CA|07-11-2017
House Of Dank|Poway/Mira Mesa|POWAY, CA|07-11-2017
Point Loma Patient Consumer Co-Op - Mira Mesa|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
WEEDRIVE|Poway/Mira Mesa|POWAY/MIRA MESA, CA|07-11-2017
MJ Deliveries|Poway/Mira Mesa|POWAY, CA|07-11-2017
GreenLyfe|Poway/Mira Mesa|POWAY, CA|07-11-2017
Royalty Delivery|Poway/Mira Mesa|POWAY, CA|07-11-2017
Blue Chip San Diego|Poway/Mira Mesa|POWAY, CA|07-11-2017
So Cal Holistic Health - San Diego|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Cali Care Collective - Poway / Mira Mesa|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
So Cal Holistic Health - Poway|Poway/Mira Mesa|POWAY, CA|07-11-2017
The Healing Heart Collective|Poway/Mira Mesa|ALL OF NORTH COUNTY, CA|07-11-2017
DaBud Group Collective|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Arkana Healing Delivery|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Freedom Farmers|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Continuum Wellness|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Triple Crown Delivery|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
1105 Cooperative|Poway/Mira Mesa|ESCONDIDO, CA|07-11-2017
Quality Therapeutics|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Kings Kannabis|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
Cloud 9 Organics INC|Poway/Mira Mesa|POWAY, CA|07-11-2017
Green Daddy Collective|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Budzilla - Mira Mesa|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
Cali Coastal Collective - Mira Mesa|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
Budzilla|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
CaliBloom|Poway/Mira Mesa|RANCHO BERNARDO, CA|07-11-2017
Sincere Delivery|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Fast and Friendly - (Open Late) - Mira Mesa|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Fast and Friendly - (Open Late) - Poway|Poway/Mira Mesa|POWAY, CA|07-11-2017
Green Nectar|Poway/Mira Mesa|POWAY, CA|07-11-2017
M Delivers - Poway - Mira Mesa|Poway/Mira Mesa|MIRA MESA/POWAY/MIRAMAR, CA|07-11-2017
Flash Buds|Poway/Mira Mesa|POWAY, CA|07-11-2017
Quality Therapeutics|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Budee|Poway/Mira Mesa|POWAY, CA|07-11-2017
Four Twenty Friendly Collective|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
4G Exclusive|Poway/Mira Mesa|POWAY, CA|07-11-2017
Four Twenty Friendly Collective|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Stoney Overnight Delivery - Poway / Mira Mesa|Poway/Mira Mesa|POWAY, CA|07-11-2017
Freedom Medical Association|Poway/Mira Mesa|POWAY, CA|07-11-2017
M Delivers - Poway/Mira Mesa|Poway/Mira Mesa|NORTH SAN DIEGO, CA|07-11-2017
San Diego Organics|Poway/Mira Mesa|SAN DIEGO, CALIFORNIA|07-11-2017
Alpha Medic, Inc. - Poway/Mira Mesa|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
7 by 7|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Luckys Health Group Delivery|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
APC - Alternative Patient Care|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Green Car Delivery|Poway/Mira Mesa|POWAY, CA|07-11-2017
A+ Deliveries|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Dank Remedies (OPEN LATE)|Poway/Mira Mesa|POWAY, CA|07-11-2017
Balboa Ave Cooperative|Poway/Mira Mesa|POWAY, CA|07-11-2017
House Of Dank|Poway/Mira Mesa|POWAY, CA|07-11-2017
Point Loma Patient Consumer Co-Op - Mira Mesa|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
WEEDRIVE|Poway/Mira Mesa|POWAY/MIRA MESA, CA|07-11-2017
MJ Deliveries|Poway/Mira Mesa|POWAY, CA|07-11-2017
GreenLyfe|Poway/Mira Mesa|POWAY, CA|07-11-2017
Royalty Delivery|Poway/Mira Mesa|POWAY, CA|07-11-2017
Blue Chip San Diego|Poway/Mira Mesa|POWAY, CA|07-11-2017
So Cal Holistic Health - San Diego|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Cali Care Collective - Poway / Mira Mesa|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
So Cal Holistic Health - Poway|Poway/Mira Mesa|POWAY, CA|07-11-2017
The Healing Heart Collective|Poway/Mira Mesa|ALL OF NORTH COUNTY, CA|07-11-2017
DaBud Group Collective|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Arkana Healing Delivery|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Freedom Farmers|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Continuum Wellness|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Triple Crown Delivery|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
1105 Cooperative|Poway/Mira Mesa|ESCONDIDO, CA|07-11-2017
Quality Therapeutics|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Kings Kannabis|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
Cloud 9 Organics INC|Poway/Mira Mesa|POWAY, CA|07-11-2017
Green Daddy Collective|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Budzilla - Mira Mesa|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
Cali Coastal Collective - Mira Mesa|Poway/Mira Mesa|MIRA MESA, CA|07-11-2017
Budzilla|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
CaliBloom|Poway/Mira Mesa|RANCHO BERNARDO, CA|07-11-2017
Sincere Delivery|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Fast and Friendly - (Open Late) - Mira Mesa|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Fast and Friendly - (Open Late) - Poway|Poway/Mira Mesa|POWAY, CA|07-11-2017
Green Nectar|Poway/Mira Mesa|POWAY, CA|07-11-2017
M Delivers - Poway - Mira Mesa|Poway/Mira Mesa|MIRA MESA/POWAY/MIRAMAR, CA|07-11-2017
Flash Buds|Poway/Mira Mesa|POWAY, CA|07-11-2017
Quality Therapeutics|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Budee|Poway/Mira Mesa|POWAY, CA|07-11-2017
Four Twenty Friendly Collective|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
4G Exclusive|Poway/Mira Mesa|POWAY, CA|07-11-2017
Four Twenty Friendly Collective|Poway/Mira Mesa|SAN DIEGO, CA|07-11-2017
Stoney Overnight Delivery - Poway / Mira Mesa|Poway/Mira Mesa|POWAY, CA|07-11-2017
Freedom Medical Association|Poway/Mira Mesa|POWAY, CA|07-11-2017
Better Daze Express, Inc|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
M Delivers - San Marcos/Escondido|Escondido/San Marcos|ALL OF NORTH COUNTY, CA|07-11-2017
The Healing Heart Collective|Escondido/San Marcos|ALL OF NORTH COUNTY, CA|07-11-2017
New Age Botanicals - Escondido|Escondido/San Marcos|ALL OF NORTH COUNTY, CA|07-11-2017
CLEAN GREEN Patient Services|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Dank Remedies (OPEN LATE)|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Jah Healing Caregivers - Escondido|Escondido/San Marcos|ESCONDIDO, CA|07-11-2017
Upper County Cannamedz|Escondido/San Marcos|ESCONDIDO, CA|07-11-2017
PUF - San Marcos / Escondido|Escondido/San Marcos|SAN MARCOS/ESCONDIDO, CA|07-11-2017
Golden Leaf|Escondido/San Marcos|ALL OF NORTH COUNTY, CA|07-11-2017
GreenLyfe|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Organic Wellness|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
The Gas Station Delivery|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Cali Care Collective - San Marcos /  Escondido|Escondido/San Marcos|ESCONDIDIO, CA|07-11-2017
Halfbaked Healing Co.|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Chili Dog Deliveries|Escondido/San Marcos|SAN DIEGO, CA|07-11-2017
For Patient Delivery|Escondido/San Marcos|ESCONDIDO, CA|07-11-2017
Fast and Friendly - (Open Late)-San Marcos/Escondido|Escondido/San Marcos|ALL OF NORTH COUNTY, CA|07-11-2017
Kush Kingdom|Escondido/San Marcos|NORTH COUNTY SD, CA|07-11-2017
Trichome Delivery Service|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Flavor Buzz|Escondido/San Marcos|ALL NORTH COUNTY, CA|07-11-2017
Rosemary Delivery|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
HIPPIE WELLNESS|Escondido/San Marcos|ALL OF NORTH COUNTY, CA|07-11-2017
Flowering Buddha Collective|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Imagine Medics|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
When In Doubt Delivery|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Releaf Delivery|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Pearls Delivery|Escondido/San Marcos|NORTH COUNTY, CA|07-11-2017
Budee|Escondido/San Marcos|SAN DIEGO, CA|07-11-2017
Fast and Friendly - (Open Late)-San Marcos/Escondido|Escondido/San Marcos|ALL OF NORTH COUNTY, CA|07-11-2017
Continuum Wellness|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Four Twenty Friendly Collective|Escondido/San Marcos|ESCONDIDO, CA|07-11-2017
1105 Cooperative|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
Modern Medicine Delivery|Escondido/San Marcos|ESCONDIDO, CA|07-11-2017
Budee|Escondido/San Marcos|SAN DIEGO, CA|07-11-2017
Weedstreet Delivery - San Marcos / Escondido|Escondido/San Marcos|SAN MARCOS, CA|07-11-2017
